# File generated automatically. Size 950. Rat = True
950
545,375
468,402
205,21
844,137
241,89
655,106
101,19
772,292
439,197
467,453
31,2
746,381
627,415
549,138
545,314
584,476
336,329
824,312
564,261
518,90
444,54
207,98
191,140
535,235
552,200
258,235
307,83
471,309
710,301
198,151
433,58
423,194
708,317
118,15
782,308
754,201
590,276
317,71
801,734
118,25
89,36
319,158
296,157
738,16
267,75
894,412
483,399
95,94
468,453
511,280
616,311
262,229
552,169
771,364
63,47
979,360
379,10
342,51
905,497
597,137
468,292
151,9
720,645
859,389
285,181
96,90
929,133
284,218
528,421
330,149
983,575
653,416
51,32
883,591
175,157
367,139
346,200
703,425
86,26
796,356
527,150
915,212
813,793
754,512
649,233
259,61
262,63
498,23
120,47
211,110
504,250
149,82
574,541
695,346
448,191
246,177
473,107
384,305
214,126
62,35
86,30
153,128
16,8
247,71
668,381
14,11
511,103
412,178
256,145
909,699
458,246
160,7
442,212
661,193
401,289
196,45
695,319
789,484
970,42
482,254
215,135
268,104
670,607
803,22
810,281
167,138
378,211
659,435
836,714
345,143
538,491
961,616
746,202
268,223
801,568
262,2
429,350
300,207
615,468
972,246
279,130
232,114
377,125
5,4
427,268
165,121
967,418
633,358
576,187
528,470
748,32
655,366
404,278
764,338
447,105
153,23
698,393
503,99
75,64
329,241
509,24
403,272
21,11
108,63
429,386
660,501
540,442
268,220
695,212
255,245
309,233
522,272
107,25
153,144
54,41
990,558
820,484
208,75
538,104
67,38
901,780
486,91
894,231
848,577
375,25
12,11
465,438
690,228
291,109
878,351
226,144
651,432
540,238
953,820
673,397
300,88
404,154
724,308
871,282
757,534
151,138
739,91
524,273
24,3
284,36
237,137
353,143
147,39
113,1
366,322
950,55
203,31
546,380
376,62
298,85
756,710
745,126
419,330
272,119
114,77
548,78
25,14
673,247
464,176
177,42
269,49
625,335
86,8
78,37
208,148
924,559
151,133
172,107
837,752
120,61
45,11
931,628
404,13
896,380
170,46
91,1
500,112
984,349
62,60
636,36
394,147
818,683
284,155
269,130
248,224
399,160
16,10
673,207
845,355
409,82
153,4
483,411
738,24
679,69
244,64
235,99
102,40
490,141
259,126
253,10
358,122
785,643
933,365
296,203
523,152
841,576
196,80
934,126
435,108
219,123
542,305
586,242
109,15
231,66
395,299
649,623
471,206
920,260
899,317
709,498
774,651
470,276
359,258
619,339
143,41
234,175
160,66
720,249
728,134
862,389
692,575
577,266
665,476
641,209
25,16
175,162
910,430
462,57
720,108
535,185
247,188
927,276
915,804
410,288
781,344
720,222
407,257
800,347
300,248
31,15
593,126
167,151
750,70
694,411
573,437
150,90
145,77
90,47
748,495
275,3
174,70
919,63
39,7
207,57
157,16
364,288
973,595
638,129
123,63
546,106
742,625
641,130
965,147
594,72
841,82
364,348
782,555
763,136
583,20
492,185
981,493
883,667
529,303
847,396
666,589
604,550
426,355
301,133
508,502
750,37
682,316
839,392
128,3
824,50
560,447
282,43
198,102
290,129
339,53
443,219
555,1
996,519
110,89
154,17
235,97
642,639
403,13
636,425
276,140
282,144
373,8
816,172
842,267
43,24
691,433
345,174
484,88
329,6
759,755
296,44
413,409
270,36
802,532
380,35
515,480
225,79
628,574
84,46
928,531
741,715
463,394
752,510
143,1
895,561
182,165
131,50
644,530
823,334
234,32
820,198
707,331
247,99
464,277
230,80
984,514
614,610
837,71
221,96
883,459
895,325
442,136
249,189
833,239
143,84
92,8
497,180
526,207
467,55
591,343
955,806
972,156
661,618
783,547
375,174
360,276
205,189
491,441
31,3
412,62
909,659
955,306
907,77
239,29
692,198
435,8
106,96
736,378
833,52
390,293
740,20
503,240
583,349
346,147
739,159
915,482
566,239
8,7
156,45
349,166
215,50
432,395
32,7
173,65
780,129
815,717
117,51
129,22
128,32
658,334
117,58
137,33
18,11
756,129
474,189
611,220
538,433
901,861
537,299
916,190
264,5
684,617
7,6
802,408
947,83
754,663
455,19
989,738
75,4
145,80
224,156
333,263
29,8
395,99
932,626
28,21
585,569
895,358
812,205
8,7
893,94
82,27
220,54
542,141
236,169
469,193
188,30
330,152
415,331
939,179
102,94
938,52
159,134
208,173
427,59
735,33
340,243
715,185
808,344
906,741
674,277
635,532
237,76
363,138
940,111
947,542
96,88
129,81
318,58
350,108
562,459
451,103
692,210
664,235
65,27
330,162
369,52
291,43
959,564
393,348
541,485
405,91
280,32
729,380
300,74
348,279
711,568
610,317
440,184
390,160
861,94
919,336
38,32
599,101
94,63
497,211
432,366
949,431
264,259
553,43
313,48
616,610
694,249
573,191
954,220
96,4
134,102
256,34
452,274
262,109
659,417
757,258
894,641
234,48
897,439
68,64
401,385
414,210
161,22
23,4
39,9
255,215
744,192
31,13
778,300
681,357
12,7
23,8
364,57
755,485
915,889
512,116
968,156
992,42
654,95
169,44
981,497
468,260
259,106
730,510
638,561
647,616
339,153
558,544
150,108
301,53
387,281
201,129
218,86
804,506
31,6
560,317
230,201
387,48
164,61
708,231
921,154
348,313
331,137
969,121
988,625
953,566
588,204
726,611
466,435
612,332
834,460
917,564
199,37
322,170
534,148
761,616
342,235
179,157
610,33
689,53
58,15
45,4
697,60
894,781
205,176
847,280
264,249
572,329
628,149
224,110
502,93
182,16
126,94
554,286
653,527
74,29
316,225
723,365
490,67
923,881
169,109
707,310
445,117
773,133
942,191
243,124
925,64
11,5
416,340
242,200
597,17
852,625
32,3
312,280
110,8
613,59
922,668
488,265
958,777
844,334
891,24
375,53
433,404
694,568
318,205
6,4
134,124
729,430
64,50
72,5
760,598
865,146
12,4
654,191
338,318
13,9
476,343
272,221
154,52
415,21
614,260
819,378
369,195
945,34
800,792
938,501
109,99
375,166
958,197
410,136
26,25
459,368
394,273
382,108
525,159
582,129
204,126
985,744
763,232
888,614
575,323
603,272
965,214
94,27
635,143
405,182
467,403
449,362
692,202
416,272
375,235
775,593
342,159
298,136
128,90
599,232
634,384
563,448
611,118
